sample	input	filtered	denoisedF	denoisedR	merged	tabled	filtered_pc	denoisedF_pc	denoisedR_pc	merged_pc	filtered_merged_pc	input_merged_pc
R1F1-S66	5613	5370	4809	4795	4107	4107	0.957	0.896	0.893	0.854	0.765	0.732
R1F2-S300	4678	4475	4257	4149	3697	3697	0.957	0.951	0.927	0.868	0.826	0.79
R1F3-S90	8117	7754	7321	7424	6627	6627	0.955	0.944	0.957	0.905	0.855	0.816
