sample	input	filtered	denoisedF	denoisedR	merged	tabled	filtered_pc	denoisedF_pc	denoisedR_pc	merged_pc	filtered_merged_pc	input_merged_pc
Y2A15-2M-06-S78	7002	6593	6383	6440	6088	6088	0.942	0.968	0.977	0.954	0.923	0.869
Y2A15-2M-12-S77	6071	5853	5730	5753	5391	5391	0.964	0.979	0.983	0.941	0.921	0.888
Y3-R1F4-S136	26	20	13	9	8	8	0.769	0.65	0.45	0.615	0.4	0.308
