sample	input	filtered	denoisedF	denoisedR	merged	tabled	filtered_pc	denoisedF_pc	denoisedR_pc	merged_pc	filtered_merged_pc	input_merged_pc
R1F1-S66	16087	14951	14245	14200	12595	12595	0.929	0.953	0.95	0.884	0.842	0.783
R1F2-S300	13206	12207	11971	11932	11244	11244	0.924	0.981	0.977	0.939	0.921	0.851
R1F3-S90	23062	20670	20053	20160	18839	18839	0.896	0.97	0.975	0.939	0.911	0.817
