sample	input	filtered	denoisedF	denoisedR	merged	tabled	filtered_pc	denoisedF_pc	denoisedR_pc	merged_pc	filtered_merged_pc	input_merged_pc
Y2A15-2M-06-S78	8053	54	11	36	10	10	0.007	0.204	0.667	0.909	0.185	0.001
Y2A15-2M-12-S77	6991	31	3	14	3	3	0.004	0.097	0.452	1	0.097	0
Y3-R1F4-S136	35	1	1	1	0	0	0.029	1	1	0	0	0
