sample	input	filtered	denoisedF	denoisedR	merged	tabled	filtered_pc	denoisedF_pc	denoisedR_pc	merged_pc	filtered_merged_pc	input_merged_pc
R1F1-S66	16228	5082	4738	4770	4357	4357	0.313	0.932	0.939	0.92	0.857	0.268
R1F2-S300	13372	3614	3480	3513	3347	3347	0.27	0.963	0.972	0.962	0.926	0.25
R1F3-S90	24323	7380	7145	7145	6723	6723	0.303	0.968	0.968	0.941	0.911	0.276
