sample	input	filtered	denoisedF	denoisedR	merged	tabled	filtered_pc	denoisedF_pc	denoisedR_pc	merged_pc	filtered_merged_pc	input_merged_pc
Y2A15-2M-06-S78	7002	6593	6392	6440	6092	6092	0.942	0.97	0.977	0.953	0.924	0.87
Y2A15-2M-12-S77	6071	5853	5731	5753	5395	5395	0.964	0.979	0.983	0.941	0.922	0.889
Y3-R1F4-S136	26	20	13	9	8	8	0.769	0.65	0.45	0.615	0.4	0.308
