sample	input	filtered	denoisedF	denoisedR	merged	tabled	filtered_pc	denoisedF_pc	denoisedR_pc	merged_pc	filtered_merged_pc	input_merged_pc	tabled_joined	chimera_out	length_filtered	tabled_pc	chimera_out_pc	length_filtered_pc
R1F1-S66	5613	5370	4797	4793	4099	4099	0.957	0.893	0.893	0.854	0.763	0.73	4099	3552	3552	1	0.87	1
R1F2-S300	4678	4475	4233	4140	3671	3671	0.957	0.946	0.925	0.867	0.82	0.785	3671	3536	3536	1	0.96	1
R1F3-S90	8117	7754	7331	7420	6624	6624	0.955	0.945	0.957	0.904	0.854	0.816	6624	5540	5540	1	0.84	1
Y2A15-2M-06-S78	7002	6593	6383	6440	6088	6088	0.942	0.968	0.977	0.954	0.923	0.869	6088	6069	6069	1	1	1
Y2A15-2M-12-S77	6071	5853	5730	5753	5391	5391	0.964	0.979	0.983	0.941	0.921	0.888	5391	5115	5115	1	0.95	1
Y3-R1F4-S136	26	20	13	9	8	8	0.769	0.65	0.45	0.615	0.4	0.308	8	8	8	1	1	1
